AL,Aliens
 AM,AfterMath
 AN,Anime
 BB,Baseball
 BH,Bobbing Heads
 BK,Basketball
 BL,Babylon 5
 BM,Batman
 BU,Buffy the Vampire Slayer
 CC,Candy & Confections
 CI,Classics Illustrated
 CN,Cartoon Network
 CO,Conan
 DH,Dark Horse Heroes
 DM,Dark Horse Merchandise
 DS,Disney
 DU,DC Universe
 DW,Doctor Who
 FB,Football
 FM,Frank Miller
 GJ,G.I. Joe
 GZ,Godzilla
 HB,Highbrow
 HC,Hercules
 HE,Helix (DC)
 HK,Hockey
 IC,Image Comics
 ID,IDW Publishing
 IJ,Indiana Jones
 JD,Judge Dredd
 LS,Lost in Space
 LT,Looney Tunes
 MA,Manga
 MG,Magic: The Gathering
 MH,Marvel Heroes
 MK,Maverick (Dark Horse)
 MM,Mike Mignola
 MT,Marvel Tech
 MV,Movie/TV
 NK,Nickelodeon
 PD,Paradox (DC)
 PR,Predator
 PW,Professional Wrestling
 RC,Racing
 RP,Roleplaying/D20 Compatible
 SF,Street Fighter
 SI,Studio Ice
 SM,Spider-Man
 SS,The Simpsons
 ST,Star Trek
 SU,Superman
 SW,Star Wars
 TC,Top Cow (Image)
 TM,Spawn (Todd McFarlane)
 UD,Udon Studios
 VA,Valiant Heroes
 VG,Video Game/Software Tie-in
 VT,Vertigo (DC)
 WB,Web Comic
 WK,WizKids
 WS,WildStorm (DC)
 WW,World of Warcraft
 XE,Xena
 XF,X-Files
 XM,X-Men
 XX,*None*
 YA,YAOI
 YR,For Young Readers
